Year,Annual_rain
1901,1649.1
1902,1641.8
1903,2024.8
1904,2016.4
1905,1325.1
1906,1976.4
1907,1255.8
1908,1611.0
1909,2009.9
1910,1992.3
1911,1865.5
1912,1684.1
1913,1356.7
1914,1876.3
1915,2212.3
1916,2316.1
1917,2336.7
1918,1022.6
1919,1992.5
1920,1483.0
1921,2107.0
1922,2364.8
1923,1978.5
1924,2184.0
1925,2057.9
1926,1906.5
1927,1965.4
1928,1449.4
1929,1664.9
1930,1857.6
1931,1977.9
1932,1444.5
1933,2012.8
1934,1966.1
1935,1704.4
1936,2763.9
1937,1712.0
1938,2104.6
1939,1666.1
1940,1650.7
1941,1314.6
1942,2116.8
1943,1951.5
1944,1831.8
1945,1946.4
1946,1935.5
1947,1815.5
1948,2351.2
1949,2037.7
1950,1785.4
1951,1481.4
1952,1811.2
1953,2028.7
1954,1849.0
1955,2485.2
1956,2318.5
1957,1960.9
1958,2182.2
1959,1637.5
1960,2299.8
1961,2412.6
1962,1870.2
1963,1926.0
1964,2038.6
1965,1359.0
1966,1463.8
1967,2186.6
1968,1533.3
1969,1902.7
1970,1996.1
1971,2314.2
1972,1252.0
1973,1761.6
1974,1551.1
1975,2215.0
1976,1576.7
1977,1908.4
1978,2360.5
1979,1254.5
1980,2473.2
1981,1849.7
1982,2079.7
1983,2396.5
1984,1858.0
1985,2133.1
1986,1650.5
1987,1291.5
1988,2120.7
1989,1627.2
1990,2064.1
1991,1623.9
1992,1684.0
1993,1605.9
1994,1717.0
1995,1687.3
1996,1951.5
1997,938.5
1998,1528.2
1999,1739.2
2000,1718.2
2001,1635.5
2002,1314.3
2003,2143.9
2004,1389.2
2005,1496.0
2006,1161.4
2007,1313.7
2008,1753.2
2009,1159.4
2010,1512.9
2011,1558.6
2012,992.3
2013,1974.2
2014,1188.1
2015,1186.0
